,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id,adress,longitude,latitude
2141,15,15,3,90.4,21876800,Невский,Октябрьская набережная,57к3,Елизаровская,294544495,Октябрьская набережная 57к3,30.4469472,59.8935011
2142,5,12,3,84.36,21800000,Выборгский,Большой Сампсониевский проспект,70к3,Выборгская,292991790,Большой Сампсониевский проспект 70к3,30.330634895111956,59.98050535
2143,3,8,3,78.5,21805716,Московский,Черниговская ,13к2,Московские ворота,298657966,Черниговская 13к2,30.330460784129077,59.8957585
2144,2,19,3,109.3,21883945,Московский, Парфеновская,17,Московские ворота,298657009,Парфеновская 17,30.31249306459226,59.8934103
2145,2,13,3,91.31,21915000,Калининский, Академика Константинова,1к1,Академическая,283448897,Академика Константинова 1к1,30.1169694,59.5758075
2146,11,18,3,105.2,22092000,Василеостровский,бульвар Александра Грина,2к2,Приморская,294573304,бульвар Александра Грина 2к2,30.206002297833763,59.93513085
2147,8,10,3,91.8,22000000,Фрунзенский,Днепропетровская ,65,Обводный канал,296604378,Днепропетровская 65,48.38358019408332,53.1816214
2148,6,18,3,87.7,22000000,Приморский,Фермское шоссе,14к1,Удельная,298755301,Фермское шоссе 14к1,30.312610759790626,60.01274695
2149,6,13,3,89.69,22244000,Калининский, Академика Константинова,1к1,Академическая,297263189,Академика Константинова 1к1,30.1169694,59.5758075
2150,7,18,3,100.5,22110000,Василеостровский,бульвар Александра Грина,2к2,Приморская,296079713,бульвар Александра Грина 2к2,30.206002297833763,59.93513085
2151,6,18,3,105.5,22155000,Василеостровский,бульвар Александра Грина,2к2,Приморская,294573300,бульвар Александра Грина 2к2,30.206002297833763,59.93513085
2152,13,19,3,103.1,22280618,Московский, Парфеновская,17,Московские ворота,298657046,Парфеновская 17,30.31249306459226,59.8934103
2153,4,20,3,85.8,22379999,Василеостровский, Челюскина,8,,287253517,Челюскина 8,77.21582407614503,43.313531100000006
2154,2,13,3,93.12,22349000,Калининский, Академика Константинова,1к1,Академическая,289786762,Академика Константинова 1к1,30.1169694,59.5758075
2155,5,11,3,89.46,22365000,Калининский, Академика Константинова,1к1,Академическая,298534387,Академика Константинова 1к1,30.1169694,59.5758075
2156,8,14,3,94.02,22309999,Красногвардейский,проспект Энергетиков,2,,291004611,проспект Энергетиков 2,83.63268820100387,53.33813195
