,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id
4652,7,9,4,156.0,160000000,Петроградский,набережная Адмирала Лазарева,22,Чкаловская,299336158
4653,4,7,4,211.5,94329000,Петроградский,Петровский проспект,11к3,Спортивная,294545870
4654,4,4,4,96.7,13900000,Московский,Московский проспект,78К,Фрунзенская,294827990
4655,7,10,4,85.7,19655985,Приморский,Парашютная ,79к1,Комендантский проспект,292425353
4656,5,12,4,110.0,27000000,Невский,проспект Обуховской обороны,70к4,Елизаровская,295328673
4657,1,10,4,105.4,15779700,Курортный,,,Парнас,296759967
4658,4,6,4,120.0,30000000,Петроградский, Большая Зеленина,3,Чкаловская,298922049
4659,2,18,4,137.2,26754000,Василеостровский,бульвар Головнина,3к1,Горный институт,294573112
4660,2,5,4,130.0,30000000,Приморский,Школьная ,8,Черная речка,296221278
4661,1,8,4,65.4,12867239,Курортный,,582,Парнас,284755048
4662,2,3,4,130.6,19900000,Адмиралтейский,Садовая ,89,Балтийская,296307988
4663,1,3,4,115.7,22345366,Петродворцовый,Красносельское шоссе,22,Ленинский проспект,293828750
4664,22,25,4,117.0,20500000,Красносельский,Ленинский проспект,51,Ленинский проспект,299094191
4665,7,8,4,175.3,79077830,Петроградский,Петровский проспект,11к3,Спортивная,294545918
4666,6,8,4,123.4,61685000,Петроградский,Петровский проспект,26к2,Чкаловская,280937837
4667,7,9,4,133.3,49135237,Петроградский,проезд Петровская коса,6к1,Крестовский остров,298658166
4668,10,17,4,155.0,42000000,Московский,Московский проспект,183-185,Московская,254021459
4669,6,23,4,104.4,18131053,Выборгский,дорога Ольгинская,,Парнас,298864200
4670,4,7,4,98.2,12250000,Василеостровский,10-я Васильевского острова линия,15Б,Василеостровская,295730808
4671,2,9,4,134.3,46156309,Петроградский,проезд Петровская коса,6к1,Крестовский остров,298658139
4672,5,7,4,84.0,14000000,Василеостровский,проспект Большой Васильевского острова,62,Горный институт,299025861
4673,5,8,4,180.7,80339220,Петроградский,Петровский проспект,11к3,Спортивная,294545902
4674,11,25,4,120.5,20500000,Приморский,аллея Поликарпова,2,Пионерская,294468954
4675,1,4,4,251.3,301560000,Петроградский,1-я Березовая аллея,7,Черная речка,260854425
4676,4,4,4,115.3,17500000,Адмиралтейский,Подольская ,17,Пушкинская,299278811
4677,2,3,4,102.2,20033124,Петродворцовый,Красносельское шоссе,22,Ленинский проспект,293828743
4678,5,6,4,100.0,24000000,Московский,Московский проспект,175,Парк Победы,299565469
4679,6,7,4,224.9,144682293,Петроградский,проезд Петровская коса,6к1,Крестовский остров,298657998
4680,3,4,4,95.7,20000000,Адмиралтейский, Глинки,3-5-7,Садовая,287868763
4681,1,7,4,155.5,58545750,Петроградский,Петровский проспект,11к3,Спортивная,294545866
4682,5,10,4,89.1,16800000,Приморский, Ильюшина,6,Комендантский проспект,298052507
4683,1,18,4,151.9,35663340,Невский,проспект Обуховской обороны,70к4,Елизаровская,298656920
4684,3,4,4,74.0,11990000,Адмиралтейский,Рижский проспект,54,Нарвская,294573039
4685,1,4,4,111.3,127666888,Петроградский,1-я Березовая аллея,7,Черная речка,288144330
4686,4,5,4,101.7,16760000,Василеостровский,проспект Кима,7/19,Приморская,298654722
4687,2,4,4,79.4,12300000,Невский,проспект Обуховской обороны,33,Площадь Александра Невского,280167220
4688,5,9,4,175.5,71955000,Петроградский,Петровский проспект,11к3,Спортивная,294545787
4689,3,6,4,130.6,22900000,Василеостровский,11-я Васильевского острова линия,46,Василеостровская,299346654
4690,6,8,4,199.7,80279400,Петроградский,Петровский проспект,11к2,Крестовский остров,294546057
4691,5,5,4,175.7,28990000,Центральный,Фурштатская ,47/11,Чернышевская,286149343
4692,14,23,4,129.2,22297030,Выборгский,дорога Ольгинская,,Парнас,298863950
4693,21,22,4,85.5,17680000,Приморский,Лыжный переулок,4к3,Беговая,291095058
4694,1,18,4,163.0,39392100,Невский,проспект Обуховской обороны,70к4,Елизаровская,298656930
4695,5,5,4,74.0,18050000,Петроградский,Кронверкский проспект,23,Горьковская,297008329
4696,6,8,4,198.05,122791000,Петроградский,набережная Реки Карповки,27,Петроградская,280459322
4697,3,5,4,118.9,23700000,Петроградский, Ленина,28,Чкаловская,291359384
4698,2,7,4,210.7,83226500,Петроградский,Петровский проспект,11к3,Спортивная,294545846
4699,4,4,4,183.5,44500000,Петроградский,Большая Посадская ,4,Горьковская,295687793
4700,7,9,4,126.0,45536400,Петроградский,Петровский проспект,11к2,Крестовский остров,294545976
4701,4,9,4,73.3,11300000,Выборгский,проспект Художников,3К1,Озерки,298804842
4702,2,7,4,97.8,15306438,Курортный,,,Проспект Просвещения,296759936
4703,6,18,4,85.0,18800000,Приморский,аллея Арцеуловская,17,Комендантский проспект,297091463
4704,14,14,4,107.51,31457426,Василеостровский,Гавань,,Приморская,299550778
4705,11,19,4,93.1,15600000,Невский, Латышских Стрелков,15к2,Проспект Большевиков,294303762
4706,2,7,4,227.5,96052947,Петроградский,проезд Петровская коса,6к1,Крестовский остров,298657993
4707,3,6,4,122.0,24900000,Петроградский,Сытнинская ,10,Горьковская,294204209
4708,8,9,4,160.02,61315710,Центральный,проспект Бакунина,,Площадь Восстания,293263916
