floor,floors_count,rooms_count,total_meters,price,distance_to_subway,distance_to_center,district_rank
1,4,1,28.3,3500000,0.0,25516.177444219054,16
15,23,1,39.8,7200000,0.0,20552.804056702964,6
15,24,1,36.95,6000000,0.0,14467.660341501061,9
14,23,1,34.37,6893604,0.0,13776.493199782368,9
8,24,1,32.4,7500000,0.0013317872400340676,12397.563951607131,7
8,23,1,33.92,6718950,0.0,13945.265531297353,9
10,16,1,44.0,8800000,0.0008064453119736821,9657.435322752508,7
11,14,1,36.0,8888888,0.0025192082600784924,7651.891268807015,9
3,4,1,41.1,20990000,0.0015262241060223472,2509.1597832331126,2
8,9,1,41.7,13950000,0.0018694573166237389,7932.389674218336,9
20,23,1,28.2,4950000,0.00025259662274253295,13755.860814684214,15
1,5,1,30.7,5400000,0.0013024044988636488,9236.486401188396,8
4,9,1,33.72,9200731,0.0,14219.929287195602,13
8,12,1,36.2,5800000,0.00034408657314403555,9835.756051545424,10
3,5,1,30.0,5500000,0.0006639866538077951,7457.580675028996,6
1,9,1,36.81,8578900,0.0,14219.929287195602,13
8,16,1,38.7,7650000,0.00040064109402371246,9049.101696869799,9
5,10,1,47.0,18000000,0.0013412754457496276,2614.547741798823,1
7,8,1,48.8,22210541,0.0007796067408117638,3531.0111824615014,1
16,25,1,34.5,7500000,0.0008349652033311149,8309.57120527384,15
5,25,1,37.95,5290000,0.00023624053360519893,14076.095534303193,15
5,9,1,44.0,16500000,0.000726616254438938,3603.386068909526,1
5,8,1,39.7,19740518,0.0007796067408117638,3531.0111824615014,1
2,5,1,31.2,5000000,0.0,24761.63239726984,11
6,7,1,54.5,13790000,0.0033081283141426087,1536.142327249029,2
10,25,1,36.94,18688685,0.0014625032939982365,10341.328270571776,7
13,14,1,37.0,6900000,0.0003254784698294154,6648.391913855315,10
2,9,1,49.19,15679999,0.00024131935475818608,4386.753252758496,3
10,10,1,35.0,6000000,0.0,15577.340142860785,13
7,7,1,63.86,24311275,0.001873124201333252,2427.235424631879,4
2,10,1,43.0,13700000,0.001163138091081412,4708.399401280517,3
6,17,1,44.8,8900000,0.0007015610074207118,7226.101809298409,8
6,9,1,41.6,15949999,0.00024131935475818608,4386.753252758496,3
5,21,1,34.9,8700000,0.00036792410631883763,6973.704459245435,4
6,12,1,48.2,17877708,0.0,45698.99600438173,5
5,5,1,31.1,6100000,0.0008704473315809608,8990.231930021899,14
6,7,1,74.62,28626097,0.001873124201333252,2427.235424631879,4
9,9,1,34.4,5490000,0.00035834489114064166,12269.625259717139,6
3,6,1,48.1,21607555,0.0013308960995756572,3715.2002526419874,2
12,16,1,33.6,11600000,0.002805233878863488,6842.077092281142,10
13,14,1,43.2,15089999,0.0,6908.371857739092,10
6,12,1,37.38,8200000,0.0002443202332049146,11930.967202371161,9
3,16,1,41.2,11290000,0.0011729700035659504,10505.16476906526,7
3,12,1,71.8,25998780,0.0,45698.99600438173,5
5,12,1,31.0,11500000,0.0005990974046406302,7856.074279607253,7
8,13,1,30.8,5970000,0.0003482485126033715,8896.64406673925,8
13,14,1,42.17,14989999,0.0,6908.371857739092,10
22,24,1,54.2,13990000,0.0012476833255042983,8821.931572579952,9
8,24,1,42.1,6912820,0.0,14467.660341501061,9
3,10,1,35.5,11600000,0.0015141672056468887,4285.214150520525,14
4,14,1,36.88,13119999,0.0,6908.371857739092,10
6,7,1,40.0,9990000,0.003823677388212512,12040.249678602542,6
2,9,1,46.26,14709999,0.00024131935475818608,4386.753252758496,3
20,23,1,35.3,5600000,0.0003975443887189362,12697.220984096206,10
2,5,1,29.7,5599000,0.00110895060384652,12744.314176600055,8
3,4,1,31.5,5500000,0.0,29296.128553839997,18
1,9,1,47.5,12700000,0.0011794464227753462,4033.4804383076175,2
4,12,1,34.5,7290000,0.0002732663109398954,13112.663437514677,9
